cell_line_id,drug,n_cells
CVCL_1098,Chlorhexidine (diacetate),1313
CVCL_1097,Chlorhexidine (diacetate),2075
CVCL_1094,Chlorhexidine (diacetate),1438
CVCL_0399,Chlorhexidine (diacetate),2979
CVCL_0332,Chlorhexidine (diacetate),1526
CVCL_0293,Chlorhexidine (diacetate),2678
CVCL_0131,Chlorhexidine (diacetate),2635
CVCL_0023,Chlorhexidine (diacetate),2870
CVCL_0371,Chlorhexidine (diacetate),2079
CVCL_1717,Chlorhexidine (diacetate),1954
CVCL_0546,Chlorhexidine (diacetate),5061
CVCL_0218,Chlorhexidine (diacetate),1256
CVCL_1381,Chlorhexidine (diacetate),2102
CVCL_1056,Chlorhexidine (diacetate),2494
CVCL_1547,Chlorhexidine (diacetate),1958
CVCL_0428,Chlorhexidine (diacetate),1315
CVCL_1478,Chlorhexidine (diacetate),1952
CVCL_0504,Chlorhexidine (diacetate),2320
CVCL_0292,Chlorhexidine (diacetate),1223
CVCL_0480,Chlorhexidine (diacetate),3285
CVCL_1635,Chlorhexidine (diacetate),1498
CVCL_0069,Chlorhexidine (diacetate),1358
CVCL_1119,Chlorhexidine (diacetate),1890
CVCL_1239,Chlorhexidine (diacetate),853
CVCL_0334,Chlorhexidine (diacetate),1179
CVCL_0359,Chlorhexidine (diacetate),2400
CVCL_0320,Chlorhexidine (diacetate),2092
CVCL_0028,Chlorhexidine (diacetate),598
CVCL_1693,Chlorhexidine (diacetate),1151
CVCL_1055,Chlorhexidine (diacetate),1139
CVCL_0459,Chlorhexidine (diacetate),4817
CVCL_1550,Chlorhexidine (diacetate),2239
CVCL_1285,Chlorhexidine (diacetate),3070
CVCL_0397,Chlorhexidine (diacetate),1647
CVCL_1495,Chlorhexidine (diacetate),1634
CVCL_1517,Chlorhexidine (diacetate),2521
CVCL_1724,Chlorhexidine (diacetate),853
CVCL_0099,Chlorhexidine (diacetate),672
CVCL_0152,Chlorhexidine (diacetate),2308
CVCL_C466,Chlorhexidine (diacetate),1629
CVCL_1731,Chlorhexidine (diacetate),1414
CVCL_0179,Chlorhexidine (diacetate),1322
CVCL_0366,Chlorhexidine (diacetate),1655
CVCL_1716,Chlorhexidine (diacetate),234
CVCL_1666,Chlorhexidine (diacetate),1546
CVCL_1715,Chlorhexidine (diacetate),202
CVCL_1577,Chlorhexidine (diacetate),90
CVCL_1531,Chlorhexidine (diacetate),23
CVCL_1125,Chlorhexidine (diacetate),339
CVCL_1571,Chlorhexidine (diacetate),14
